custnum,saledate,Equipsales
220110,2015-03-01,235278
130682,2018-09-01,449316
241126,2015-06-01,236845
133357,2016-05-01,163182.92
227529,2017-10-01,87606
128874,2018-08-01,308026
226640,2017-08-01,127548.4
150973,2015-03-01,76321.66
243090,2018-04-01,85571
141966,2018-10-01,362734
141966,2018-01-01,148278
168953,2016-11-01,83870
241670,2015-05-01,114909
131111,2015-05-01,97799
141884,2015-02-01,135382
107246,2018-12-01,409514.2
128874,2017-12-01,421858
155406,2017-08-01,126527
245100,2018-06-01,175290
179124,2018-06-01,127302
229799,2016-07-01,218088.5
107246,2015-02-01,98433
153520,2016-01-01,169964
220526,2015-01-01,193003
157197,2017-10-01,84653.3
145126,2018-07-01,139847
126638,2017-09-01,551526
100055,2017-10-01,119194
132544,2016-02-01,114855
155667,2016-07-01,266642
243525,2017-12-01,103402
168953,2015-04-01,268726
255051,2016-11-01,241208
180130,2018-08-01,3960324.86
224525,2015-09-01,170051
155182,2017-11-01,176848
155866,2018-05-01,878218.1
167184,2016-08-01,86682
161122,2015-02-01,233454
235348,2016-12-01,87269.33
122874,2018-12-01,109869.5
148507,2017-09-01,120293.05
144002,2016-01-01,91443
500500,2018-08-01,237038
168732,2015-03-01,139179.83
235185,2015-06-01,116209
241449,2018-02-01,97359
254010,2017-08-01,148664
165803,2016-10-01,1014739.24
165803,2016-01-01,497331.67
150973,2016-06-01,97712
121683,2016-06-01,94741
159936,2016-08-01,297991.7
161607,2016-04-01,134127
177248,2018-04-01,103540
141966,2018-11-01,245838
235185,2017-02-01,81722.86
223781,2015-06-01,5867687
500500,2017-04-01,84900
125712,2017-05-01,78324
140785,2018-10-01,111898
182666,2018-04-01,84096
143472,2018-05-01,84270
135841,2015-12-01,86153.34
155232,2015-02-01,97369
100056,2016-06-01,212689
180130,2016-11-01,2991672.37
237217,2015-02-01,106429
255398,2018-10-01,152111.44
181851,2018-12-01,91815.98
144782,2017-03-01,123614
149743,2016-11-01,140952
107590,2016-09-01,76557
162708,2017-08-01,78085
223255,2016-11-01,82178.1
168732,2015-07-01,185227.68
242458,2017-12-01,162866.72
221774,2018-08-01,129741
122676,2018-01-01,173474
122676,2018-10-01,89544
155848,2015-02-01,2630016
140061,2018-05-01,96615.68
182666,2018-07-01,114454
249972,2015-05-01,137796
123368,2019-01-01,128836
241083,2015-03-01,94397
146831,2018-04-01,96490
138862,2016-02-01,147245.2
175547,2017-03-01,112515.59
142705,2019-01-01,207472
220110,2018-12-01,179070
182381,2018-12-01,227489.88
165717,2019-01-01,100794
138862,2017-05-01,205906.06
241449,2015-04-01,172075
168829,2017-06-01,87661
106036,2018-07-01,124584
231820,2018-02-01,174098
167811,2016-05-01,93424
128074,2016-03-01,77508
139982,2017-05-01,120428
225850,2015-07-01,145379
162132,2015-11-01,157061.96
226821,2018-05-01,131403.14
256356,2015-06-01,96885
174759,2018-05-01,75442
151258,2016-06-01,201557
169727,2019-01-01,81595
171837,2015-07-01,209601
128649,2015-10-01,112596.4
170782,2018-02-01,95835.1
167219,2018-04-01,116133
104573,2015-12-01,90157.2
223137,2019-02-01,500718
224210,2016-02-01,105278
122676,2018-11-01,310976
122676,2015-07-01,289233
248606,2017-08-01,394752
221774,2016-11-01,92293.5
225850,2015-06-01,149194
233839,2016-09-01,122539
237217,2015-03-01,163274.75
170407,2015-08-01,84672
251382,2019-01-01,88367.42
146351,2018-02-01,81807
172241,2017-03-01,97054
173144,2018-10-01,79190
132544,2016-09-01,204974.99
132544,2017-12-01,198839.35
108870,2015-10-01,169126.3
138103,2018-07-01,146747
170518,2015-10-01,167538.91
179809,2018-02-01,144227
155033,2017-07-01,188265
235432,2016-01-01,100000
256259,2017-08-01,861516.79
148218,2015-07-01,78117.5
233329,2018-05-01,114355
243220,2018-03-01,142053.49
243546,2015-06-01,202619.5
254702,2017-07-01,126853
132737,2017-06-01,193240.6
223137,2016-05-01,1715428
125859,2015-07-01,118635
244264,2016-02-01,116141
155006,2015-08-01,464258.9
243733,2019-01-01,211631
152138,2017-09-01,116053
161811,2015-11-01,146664.83
133357,2017-02-01,121169
128649,2016-05-01,159020.49
179124,2018-07-01,81402
