custnum,saledate,Equipsales
100803,1/1/2014,49546
100803,2/1/2014,26857
100803,3/1/2014,54599
100803,4/1/2014,185535
100803,5/1/2014,234718.45
100803,6/1/2014,258666
100803,7/1/2014,154318
100803,8/1/2014,114142
100803,9/1/2014,148111
100803,10/1/2014,111321
100803,11/1/2014,83218
100803,12/1/2014,27816
100803,1/1/2015,99811
100803,2/1/2015,81617
100803,3/1/2015,65382
100803,4/1/2015,399944.7
100803,5/1/2015,169882.35
100803,6/1/2015,386696.45
100803,7/1/2015,362168.65
100803,8/1/2015,214464.9
100803,9/1/2015,148497.75
100803,10/1/2015,125812.15
100803,11/1/2015,124416.4
100803,12/1/2015,141945
100803,1/1/2016,171311.57
100803,2/1/2016,356565.9
100803,3/1/2016,128314.45
100803,4/1/2016,121384.95
100803,5/1/2016,247735.2
100803,6/1/2016,275614.78
100803,7/1/2016,214985.16
100803,8/1/2016,286866.78
100803,9/1/2016,198789.75
100803,10/1/2016,111312.3
100803,11/1/2016,79158.46
100803,12/1/2016,122115.19
100803,1/1/2017,82573.6
100803,2/1/2017,69364.16
100803,3/1/2017,424592.71
100803,4/1/2017,238122.89
100803,5/1/2017,214819.67
100803,6/1/2017,314896.7
100803,7/1/2017,211891.8
100803,8/1/2017,259581.29
100803,9/1/2017,124598.54
100803,10/1/2017,154161.47
100803,11/1/2017,238618.55
100803,12/1/2017,111486
100803,1/1/2018,227964.38
100803,2/1/2018,54355.15
100803,3/1/2018,281212.88
100803,4/1/2018,512924.18
100803,5/1/2018,634782.95
100803,6/1/2018,737818.23
100803,7/1/2018,525179.97
100803,8/1/2018,455552.24
100803,9/1/2018,321878.12
100803,10/1/2018,472334.97
100803,11/1/2018,451294.58
100803,12/1/2018,199111.31
100803,1/1/2019,323724.81
101434,1/1/2014,222
101434,2/1/2014,111
101434,3/1/2014,1
101434,4/1/2014,1
101434,5/1/2014,1
101434,6/1/2014,1
101434,7/1/2014,1
101434,8/1/2014,1
101434,9/1/2014,1
101434,10/1/2014,1
101434,11/1/2014,1
101434,12/1/2014,1
101434,1/1/2015,121
101434,2/1/2015,13133.74
101434,3/1/2015,6353
101434,4/1/2015,1784
101434,5/1/2015,1
101434,6/1/2015,1
101434,7/1/2015,11481
101434,8/1/2015,36168
101434,9/1/2015,21252
101434,10/1/2015,5113
101434,11/1/2015,4417
101434,12/1/2015,1
101434,1/1/2016,8685
101434,2/1/2016,9839
101434,3/1/2016,5339
101434,4/1/2016,9852.86
101434,5/1/2016,31216.42
101434,6/1/2016,81659
101434,7/1/2016,73343
101434,8/1/2016,68111
101434,9/1/2016,68463
101434,10/1/2016,58718
101434,11/1/2016,54479
101434,12/1/2016,49211
101434,1/1/2017,24183
101434,2/1/2017,25781
101434,3/1/2017,32175
101434,4/1/2017,32491
